Product Name,Price,Rating,Reviews,Product Link,Image Link
EA SPORTS FC 25 - PlayStation 5,"1,900..00",4.7 out of 5 stars,863,https://www.amazon.eg/-/en/EA-SPORTS-FC-25-PlayStation/dp/B0D94PQMTX/ref=sr_1_1?dib=eyJ2IjoiMSJ9.UCXFQBMHYSULPYzXmE6hXSUryOdJGB2JWGPnHdQMfshL0VYt8JmVmvHfIjfCwlkgqRAnZblmg7KpZ_cmEfjv-yQhk5bTFnxEGCtX5q7KDRJFKaOLiNGQ3K1JpIU7meKUTrYit52oqkmvIdSDIwu4axccG6JXIk6K54UDyIiej14NDrJVT_B_MvZrkWmg8mktNEMipCR05ywUlCUUZ2AjaiOtuuRg0hVgnO8yB-CRx9aZLlWavnSstrdHHMx4VFcbqAh5m6ASOCZUQozFClA5htF09w2TlQ8fBPtVrDdJJXA.aht1uT-pakqIjgzCYGWf9hq-NiM3HDhf_ljR5CBS3tw&dib_tag=se&keywords=ps5+games&qid=1754528472&sr=8-1,https://m.media-amazon.com/images/I/81mm+VudgaL._AC_UL320_.jpg
Call of Duty®: Black Ops 6 - PlayStation 5,,4.5 out of 5 stars,"1,412",https://www.amazon.eg/-/en/Call-Duty%C2%AE-Black-Ops-PlayStation/dp/B0D6M2FG43/ref=sr_1_2?dib=eyJ2IjoiMSJ9.UCXFQBMHYSULPYzXmE6hXSUryOdJGB2JWGPnHdQMfshL0VYt8JmVmvHfIjfCwlkgqRAnZblmg7KpZ_cmEfjv-yQhk5bTFnxEGCtX5q7KDRJFKaOLiNGQ3K1JpIU7meKUTrYit52oqkmvIdSDIwu4axccG6JXIk6K54UDyIiej14NDrJVT_B_MvZrkWmg8mktNEMipCR05ywUlCUUZ2AjaiOtuuRg0hVgnO8yB-CRx9aZLlWavnSstrdHHMx4VFcbqAh5m6ASOCZUQozFClA5htF09w2TlQ8fBPtVrDdJJXA.aht1uT-pakqIjgzCYGWf9hq-NiM3HDhf_ljR5CBS3tw&dib_tag=se&keywords=ps5+games&qid=1754528472&sr=8-2,https://m.media-amazon.com/images/I/818zyNJnfLL._AC_UL320_.jpg
Sony CD Marvel’S Spider-Man 2- Playstation 5,"3,300..00",4.1 out of 5 stars,613,https://www.amazon.eg/-/en/Sony-CD-MarvelS-Spider-Man-Playstation/dp/B0C7VLXMT4/ref=sr_1_3?dib=eyJ2IjoiMSJ9.UCXFQBMHYSULPYzXmE6hXSUryOdJGB2JWGPnHdQMfshL0VYt8JmVmvHfIjfCwlkgqRAnZblmg7KpZ_cmEfjv-yQhk5bTFnxEGCtX5q7KDRJFKaOLiNGQ3K1JpIU7meKUTrYit52oqkmvIdSDIwu4axccG6JXIk6K54UDyIiej14NDrJVT_B_MvZrkWmg8mktNEMipCR05ywUlCUUZ2AjaiOtuuRg0hVgnO8yB-CRx9aZLlWavnSstrdHHMx4VFcbqAh5m6ASOCZUQozFClA5htF09w2TlQ8fBPtVrDdJJXA.aht1uT-pakqIjgzCYGWf9hq-NiM3HDhf_ljR5CBS3tw&dib_tag=se&keywords=ps5+games&qid=1754528472&sr=8-3,https://m.media-amazon.com/images/I/81qBiCSoegL._AC_UL320_.jpg
Ubisoft CD The Crew Motorfest - Playstation 5,,4.0 out of 5 stars,1,https://www.amazon.eg/-/en/Ubisoft-CD-Crew-Motorfest-Playstation/dp/B0CMXH5S3M/ref=sr_1_4?dib=eyJ2IjoiMSJ9.UCXFQBMHYSULPYzXmE6hXSUryOdJGB2JWGPnHdQMfshL0VYt8JmVmvHfIjfCwlkgqRAnZblmg7KpZ_cmEfjv-yQhk5bTFnxEGCtX5q7KDRJFKaOLiNGQ3K1JpIU7meKUTrYit52oqkmvIdSDIwu4axccG6JXIk6K54UDyIiej14NDrJVT_B_MvZrkWmg8mktNEMipCR05ywUlCUUZ2AjaiOtuuRg0hVgnO8yB-CRx9aZLlWavnSstrdHHMx4VFcbqAh5m6ASOCZUQozFClA5htF09w2TlQ8fBPtVrDdJJXA.aht1uT-pakqIjgzCYGWf9hq-NiM3HDhf_ljR5CBS3tw&dib_tag=se&keywords=ps5+games&qid=1754528472&sr=8-4,https://m.media-amazon.com/images/I/51ERv4YbvxL._AC_UL320_.jpg
Capcom Playstation 5 CD Resident Evil 4,"3,365..00",4.7 out of 5 stars,"1,432",https://www.amazon.eg/-/en/Capcom-Playstation-CD-Resident-Evil/dp/B0B7GH1911/ref=sr_1_5?dib=eyJ2IjoiMSJ9.UCXFQBMHYSULPYzXmE6hXSUryOdJGB2JWGPnHdQMfshL0VYt8JmVmvHfIjfCwlkgqRAnZblmg7KpZ_cmEfjv-yQhk5bTFnxEGCtX5q7KDRJFKaOLiNGQ3K1JpIU7meKUTrYit52oqkmvIdSDIwu4axccG6JXIk6K54UDyIiej14NDrJVT_B_MvZrkWmg8mktNEMipCR05ywUlCUUZ2AjaiOtuuRg0hVgnO8yB-CRx9aZLlWavnSstrdHHMx4VFcbqAh5m6ASOCZUQozFClA5htF09w2TlQ8fBPtVrDdJJXA.aht1uT-pakqIjgzCYGWf9hq-NiM3HDhf_ljR5CBS3tw&dib_tag=se&keywords=ps5+games&qid=1754528472&sr=8-5,https://m.media-amazon.com/images/I/815o7ZcxpFL._AC_UL320_.jpg
EA SPORTS FC 25 Standard Edition PS5 | VideoGame | English,"1,900..00",4.5 out of 5 stars,"1,981",https://www.amazon.eg/-/en/SPORTS-Standard-PS5-VideoGame-English/dp/B0D96G4K9T/ref=sr_1_6?dib=eyJ2IjoiMSJ9.UCXFQBMHYSULPYzXmE6hXSUryOdJGB2JWGPnHdQMfshL0VYt8JmVmvHfIjfCwlkgqRAnZblmg7KpZ_cmEfjv-yQhk5bTFnxEGCtX5q7KDRJFKaOLiNGQ3K1JpIU7meKUTrYit52oqkmvIdSDIwu4axccG6JXIk6K54UDyIiej14NDrJVT_B_MvZrkWmg8mktNEMipCR05ywUlCUUZ2AjaiOtuuRg0hVgnO8yB-CRx9aZLlWavnSstrdHHMx4VFcbqAh5m6ASOCZUQozFClA5htF09w2TlQ8fBPtVrDdJJXA.aht1uT-pakqIjgzCYGWf9hq-NiM3HDhf_ljR5CBS3tw&dib_tag=se&keywords=ps5+games&qid=1754528472&sr=8-6,https://m.media-amazon.com/images/I/713OLbbTFOL._AC_UL320_.jpg
SEGA Sonic x Shadow Generations (Playstation 5),,4.7 out of 5 stars,946,https://www.amazon.eg/-/en/SEGA-Sonic-Shadow-Generations-Playstation/dp/B0D6GKNRJH/ref=sr_1_7?dib=eyJ2IjoiMSJ9.UCXFQBMHYSULPYzXmE6hXSUryOdJGB2JWGPnHdQMfshL0VYt8JmVmvHfIjfCwlkgqRAnZblmg7KpZ_cmEfjv-yQhk5bTFnxEGCtX5q7KDRJFKaOLiNGQ3K1JpIU7meKUTrYit52oqkmvIdSDIwu4axccG6JXIk6K54UDyIiej14NDrJVT_B_MvZrkWmg8mktNEMipCR05ywUlCUUZ2AjaiOtuuRg0hVgnO8yB-CRx9aZLlWavnSstrdHHMx4VFcbqAh5m6ASOCZUQozFClA5htF09w2TlQ8fBPtVrDdJJXA.aht1uT-pakqIjgzCYGWf9hq-NiM3HDhf_ljR5CBS3tw&dib_tag=se&keywords=ps5+games&qid=1754528472&sr=8-7,https://m.media-amazon.com/images/I/81-696wt8YL._AC_UL320_.jpg
Electronic Arts It Takes Two - PS5 Upgrade,"1,994..00",4.7 out of 5 stars,812,https://www.amazon.eg/-/en/Electronic-Arts-Takes-Two-Upgrade/dp/B08S115LSD/ref=sr_1_8?dib=eyJ2IjoiMSJ9.UCXFQBMHYSULPYzXmE6hXSUryOdJGB2JWGPnHdQMfshL0VYt8JmVmvHfIjfCwlkgqRAnZblmg7KpZ_cmEfjv-yQhk5bTFnxEGCtX5q7KDRJFKaOLiNGQ3K1JpIU7meKUTrYit52oqkmvIdSDIwu4axccG6JXIk6K54UDyIiej14NDrJVT_B_MvZrkWmg8mktNEMipCR05ywUlCUUZ2AjaiOtuuRg0hVgnO8yB-CRx9aZLlWavnSstrdHHMx4VFcbqAh5m6ASOCZUQozFClA5htF09w2TlQ8fBPtVrDdJJXA.aht1uT-pakqIjgzCYGWf9hq-NiM3HDhf_ljR5CBS3tw&dib_tag=se&keywords=ps5+games&qid=1754528472&sr=8-8,https://m.media-amazon.com/images/I/813sLJLw78L._AC_UL320_.jpg
Black Myth Wukong for PS5 - PlayStation 5 - New Original,"1,900..00",4.6 out of 5 stars,"2,540",https://www.amazon.eg/-/en/Black-Myth-Wukong-PS5-PlayStation/dp/B0FDH3STRB/ref=sr_1_9?dib=eyJ2IjoiMSJ9.UCXFQBMHYSULPYzXmE6hXSUryOdJGB2JWGPnHdQMfshL0VYt8JmVmvHfIjfCwlkgqRAnZblmg7KpZ_cmEfjv-yQhk5bTFnxEGCtX5q7KDRJFKaOLiNGQ3K1JpIU7meKUTrYit52oqkmvIdSDIwu4axccG6JXIk6K54UDyIiej14NDrJVT_B_MvZrkWmg8mktNEMipCR05ywUlCUUZ2AjaiOtuuRg0hVgnO8yB-CRx9aZLlWavnSstrdHHMx4VFcbqAh5m6ASOCZUQozFClA5htF09w2TlQ8fBPtVrDdJJXA.aht1uT-pakqIjgzCYGWf9hq-NiM3HDhf_ljR5CBS3tw&dib_tag=se&keywords=ps5+games&qid=1754528472&sr=8-9,https://m.media-amazon.com/images/I/71uuD4ebG4L._AC_UL320_.jpg
Sonic Frontiers - PlayStation 5,,5.0 out of 5 stars,1,https://www.amazon.eg/-/en/SEG63287PS5-Sonic-Frontiers-PlayStation-5/dp/B0B9ZFWMK1/ref=sr_1_10?dib=eyJ2IjoiMSJ9.UCXFQBMHYSULPYzXmE6hXSUryOdJGB2JWGPnHdQMfshL0VYt8JmVmvHfIjfCwlkgqRAnZblmg7KpZ_cmEfjv-yQhk5bTFnxEGCtX5q7KDRJFKaOLiNGQ3K1JpIU7meKUTrYit52oqkmvIdSDIwu4axccG6JXIk6K54UDyIiej14NDrJVT_B_MvZrkWmg8mktNEMipCR05ywUlCUUZ2AjaiOtuuRg0hVgnO8yB-CRx9aZLlWavnSstrdHHMx4VFcbqAh5m6ASOCZUQozFClA5htF09w2TlQ8fBPtVrDdJJXA.aht1uT-pakqIjgzCYGWf9hq-NiM3HDhf_ljR5CBS3tw&dib_tag=se&keywords=ps5+games&qid=1754528472&sr=8-10,https://m.media-amazon.com/images/I/81Q+mNuGfML._AC_UL320_.jpg
